;x (unabhŠngige Variable);y (abhŠngige Variable);;;
;BeitrŠge pro Tag;Zufriedenheit;x';y';z'
;5; 6.42 ; 0.40 ; 0.87 ; 0.35 
;4; 6.33 ; -0.60 ; 0.78 ; -0.47 
;4; 5.47 ; -0.60 ; -0.08 ; 0.05 
;5; 6.01 ; 0.40 ; 0.46 ; 0.19 
;5; 5.60 ; 0.40 ; 0.05 ; 0.02 
;3; 7.47 ; -1.60 ; 1.92 ; -3.07 
;5; 4.80 ; 0.40 ; -0.75 ; -0.30 
;4; 5.67 ; -0.60 ; 0.12 ; -0.07 
;6; 4.61 ; 1.40 ; -0.94 ; -1.32 
;7; 3.04 ; 2.40 ; -2.51 ; -6.03 
;2; 7.30 ; -2.60 ; 1.75 ; -4.54 
;5; 5.76 ; 0.40 ; 0.21 ; 0.08 
;5; 5.51 ; 0.40 ; -0.04 ; -0.02 
;6; 4.77 ; 1.40 ; -0.78 ; -1.10 
;4; 4.58 ; -0.60 ; -0.97 ; 0.58 
;6; 4.58 ; 1.40 ; -0.97 ; -1.36 
;6; 4.66 ; 1.40 ; -0.89 ; -1.25 
;1; 6.70 ; -3.60 ; 1.15 ; -4.13 
;7; 4.34 ; 2.40 ; -1.21 ; -2.91 
;2; 7.40 ; -2.60 ; 1.85 ; -4.82 
Mittelwert; 4.60 ; 5.55 ;;;
;;;; Z= ; -30.13 